,product,narrative
0,credit_card,purchase order day shipping amount receive product week sent followup email exact verbiage paid two day shipping received order company responded im sorry inform due unusually high order volume order shipped several week stock since early due high demand although continuing take order guaranteeing receive order place due time mask order exact shipping date right however guarantee ship soon soon delivers product u getting small shipment shipping first come first served basis appreciate patience fulfill order quickly recommend keeping order lose place line cancel distributor stock moment prefer cancel please note ask via email cancel accordance cancellation policy agreed checkout electronic inventory online requested order canceled refund issued canceled order sent verification order canceled refunded item particulate respirator refunded subtotal shipping tax total usd visa ending refund called disputed amount stated nothing needed submitted address issue recharged item removing called back dispute amount transaction rebillmerchandiserobert ca purchased thu posted wed purchased appears statement transaction rebill ca u followed see status case submitted documentation showing canceled order supposed submit refund called back speak manager case stated dispute ruled favor charge removed card capital one removed purchase bill purchase adjustmentmerchandiserobert j posted fri purchased appears statement purchase adjustment capital one recharges amount transaction rebillmerchandiserobert j purchased thu posted mon purchased appears statement transaction rebill called capital one requested recharge stated visa ruled case pretended remove purchase knew anything case manager ruling favor
1,credit_card,forwarded message date tue subject please investigate comenity bank retailer card scam sent hello name scammed comenity bank credit card provider company childrens place new york forever victoria secret original credit comenity bank lower limit began charge overage fee along late fee began pay close attention card find limit also changed well incurring overage late fee reached company comenity bank stated would change credit limit original limit reached told summit payment account corrected comenity bank credit card impacted credit score plummeted negative status im currently paying price due corruption affected detrimental way debt due company charging overage fee well late fee even initial credit limit fluctuating tremendously company charge major fee account willing correct account nervous said attorney reason im reaching im employee company ruining credit plz help name contact info thank
2,retail_banking,forwarded message cc sent friday pdt subject final legal payment well fargo well fargo clearly wrong need look actually opened account see court hearing several different government agency reporting well including branch put open account numerous fraudulent charge debit card connected account clearly due fact well fargo maintain clearly required encryption card keep secure adding damage request small claim lawsuit time take away running business branch required come branch multiple time get fraudulent charge removed actually present strong case proper consumer protection agency well fargo immediately barred issuing account debit card insure agency card adequate prevent fraudulent use also requesting punitive treble damage sum hour take work handle lawsuit along legal cost filing lawsuit county small claim court today well fargo outrageous fraudulent conduct clearly warrant punitive damage also sharing every possible consumer protection agency find would think well fargo enough adverse publicity fraudulent conduct last year introduce small claim suit clearly establishing well fargo established business practice fraud customer ca judge really need reminded might want immediately run bonus payment legal department
3,credit_reporting,payment history missing credit report specialized loan servicing sl made mistake put account forbearance without authorization knowledge matter fact automatic payment setup month monthly mortgage paid full noticed issue account marked forbearance credit report tried get new home loan another new bank contacted immediately asked fix error provide letter detail please see asks forbearance issue seemed fixed however credit report payment history missing new bank able approve new loan issue missing payment history contacted specialized loan servicing time since phone ask sl thing report payment history fix missing data issue provide letter show account never forbearance payment history past month however waiting week countless email phone call talk multiple supervisor able get either one thing without issue fixed new bank process new loan application therefore need sl help immediately get fixed
4,credit_reporting,payment history missing credit report made mistake put account forbearance without authorization knowledge matter fact automatic payment setup month monthly mortgage paid full noticed issue account marked forbearance credit report tried get new home loan another new bank contacted immediately asked fix error provide letter detail please see asks forbearance issue seemed fixed however credit report payment history missing new bank able approve new loan issue missing payment history contacted time since phone ask thing report payment history transunion fix missing data issue provide letter show account never forbearance payment history past month however waiting week countless email phone call talk multiple supervisor able get either one thing without issue fixed new bank process new loan application therefore need help immediately get fixed
5,credit_reporting,payment history missing credit report made mistake put account forbearance without authorization knowledge matter fact automatic payment setup month monthly mortgage paid full noticed issue account marked forbearance credit report tried get new home loan another new bank contacted immediately asked fix error provide letter detail please see asks forbearance issue seemed fixed however credit report payment history missing new bank able approve new loan issue missing payment history contacted time since phone ask thing report payment history experian fix missing data issue provide letter show account never forbearance payment history past month however waiting week countless email phone call talk multiple supervisor able get either one thing without issue fixed new bank process new loan application therefore need help immediately get fixed
6,credit_reporting,va date complaint experian credit bureau involved decision maker stop cease retaliation discrimination abuse american taxpayer today experian blocked accessing free annual credit report adding restrictive discriminatory condition specifically many proof support fact subjected retaliatory adverse action experian credit bureau allowing participating causing damage financial reputation experian causing severe emotional distress experian impeded ability review credit report therefore anything negative report damage caused full legal responsibility liability experian excuse justify restriction website called condition experian put place experian experian involved decision maker must stop retaliation must pay huge legal consequence illegal act american taxpayer cfpb shall investigate experian unlawful practice reported cfpb several time past year reference experian credit report one previous year year several incorrect information experian insisted keep file within credit bureau named experian experian intent damage financial reputation fact proven fact damage already experian caused mu person please note experian response legal complaint used experian involved decision maker time court law stated herein current state belief knowledge understanding subject correction change kind time legal representative without waiving right circumstance digitally signed filed today within cfpb
7,credit_reporting,account reported abbreviated name full name servicer account transunion reporting date last payment reporting payment due account time however date inconsistent however transunion reporting date last active show show none date match activity payment made three bureau reporting high credit balance show transunion show amount violation failed addressed repeatedly amount match information reported percent accurately according law transunion repeatedly failed report account dispute removed account dispute comment company reporting account top invalid account number also listed authorized user considered account removed another account reporting listed authorized user considered account reporting high credit limit credit limit left transunion reporting high credit amount credit limit transunion reporting date last active reporting date supposed match since supposed receive exact information company date last payment transunion show date last active also show date last active date last payment show date last active date last payment none date company match reported accurately still also making payment account since paid far two year payment history even reflect none bureau reporting information verified account still reporting wrong making payment ever since company show payment history co however show making payment since reporting wrong show date last active transunion making payment account since however transunion reporting date last payment show last reported date show transunion show information inaccurate reported inconsistently three bureau verify information correct attached evidence refuse change company obligated fcra report information totally accurate severely affecting credit score equifax also reporting credit limit transunion reporting reporting high credit transunion showing three bureau reporting past due balance violation still corrected showing past due amount transunion show account already carrying balance reflect past due amount violation company refusing proper investigation error even asked method verification provide information requested allowed law request
8,credit_reporting,account reported abbreviated name full name servicer account experian reporting date last payment reporting payment due account time however date inconsistent however reporting date last active experian show show none date match activity payment made three bureau reporting high credit balance show experian show amount violation failed addressed repeatedly amount match information reported percent accurately according law repeatedly failed report account dispute removed account dispute comment company reporting account top invalid account number also listed authorized user considered account removed another account reporting experian listed authorized user considered account reporting high credit limit credit limit left experian reporting high credit amount credit limit reporting date last active experian reporting date supposed match since supposed receive exact information company date last payment transunion show date last active experian also show date last active date last payment show date last active date last payment none date company match reported accurately still also making payment account since paid far two year payment history even reflect none bureau reporting information verified account still reporting wrong making payment ever since company experian show payment history co however show making payment since experian reporting wrong experian show date last active making payment account since however reporting date last payment experian show last reported date experian show show information inaccurate reported inconsistently three bureau verify information correct attached evidence refuse change company obligated fcra report information totally accurate severely affecting credit score also reporting credit limit experian reporting experian reporting high credit transunion showing three bureau reporting past due balance violation still corrected experian showing past due amount show account already carrying balance reflect past due amount violation company refusing proper investigation error even asked method verification provide information requested allowed law request
9,credit_reporting,usdoexxxx account reported abbreviated name full name servicer account reporting date last payment equifax reporting payment due account time however date inconsistent however reporting date last active show equifax show none date match activity payment made three bureau reporting high credit balance show equifax show amount violation failed addressed repeatedly amount match information reported percent accurately according law repeatedly failed report account dispute equifax removed account dispute comment equifax company reporting account top invalid account number also listed authorized user considered account removed another account reporting listed authorized user considered account equifax reporting high credit limit credit limit left reporting high credit amount credit limit reporting date last active reporting equifax date supposed match since supposed receive exact information company date last payment show date last active also show date last active date last payment equifax show date last active date last payment none date company match reported accurately still also making payment account since paid far two year payment history even reflect none bureau reporting information verified account still reporting wrong making payment ever since company show payment history co however equifax show making payment since reporting wrong show date last active equifax making payment account since however reporting date last payment equifax equifax show last reported date show show information inaccurate reported inconsistently three bureau verify information correct attached evidence refuse change company obligated fcra report information totally accurate severely affecting credit score equifax also reporting credit limit reporting reporting high credit equifax showing three bureau reporting past due balance violation still corrected showing past due amount equifax show account already carrying balance reflect past due amount violation company refusing proper investigation error even asked method verification provide information requested allowed law request
10,mortgages_and_loans,beginning mortgage held mb financial mb mortgage portfolio purchased bank first quarter mb financial customer began fall behind mortgage payment due unemployment divorce house went foreclosure later sheriff sale home scheduled morning submitted hardship application end documentation specific date letter dated acknowledges application discussed next step never received written verbal confirmation regarding status hardship application day scheduled sheriff sale communication way sale never provided clear determination application made payment brought account current able taking loan group friend would lost home sheriff auction day sale received express mail letter dated date scheduled sheriff sale saying hardship application approved detail trial payment plan received letter timeframe required promised would take full loan friend would made required payment delay review option held numerous call since large payment told trial plan leading loan modification place payment plan fact made brought account current documentation effect extending one call confirm status mortgage department even made branch local branch manager line ensure misunderstanding aspect found process confusing told call branch manager participated could expect receive loan modification agreement end happen told subsequent call would receive end still happened week ago became concerned process might impacted covid pandemic call told loan modification going happen made payment bring account current never told conversation written communication since hardship application submitted end told would need resubmit hardship application go process approved would put overall timeframe modify mortgage nearly year assuming submitted took day review made monthly payment took another one two month get agreement hold two business significant financial responsibility unintelligent lacking understanding fiscal matter found experience absolutely frustrating held commitment submitting cfpb hope might rectify situation potentially others interim planning applying covid hardship forbearance separate reapplication hardship program
11,credit_card,called request new york state covid relief plan day interest fee waived amex provided relief leading late payment amex refused honor relief day gap insists charging late fee
12,credit_card,capital one secured credit account opened name closed outstanding balance never opened account knew nothing started receiving mail
13,credit_reporting,collection account acct opened balance account acct opened balance account
14,debt_collection,collection agency system inc mn phone sent letter regarding debt owe immediately sent system inc u postal certified letter stating owe debt contact certified mail claim disputed report agency resolved received letter system immediately responded received correspondence illigal practice system reported credit bureau consecutive month original letter responded copy certified receipt plus consecutive month past original letter system misrepresented information bureau date last payment thank
15,mortgages_and_loans,current loan provident funding applied refinance provident funding variable interest rate went loan applied refinance downpayment reduce depth also monthly payment locked interest rate day current payment going approximately provided income debt information provident funding provident funding play game interest rate arm went provided every information suspended loan application able reach mortgage broker always get voicemail responded email underwriter approving due ratio
